tta_method,composition_id,composition_clients,composition_length,corruption,clean_samples,corruption_samples,before_clean_accuracy,before_corruption_accuracy,before_mixed_accuracy,adapted_clean_accuracy,adapted_corruption_accuracy,adapted_mixed_accuracy,gain_clean,gain_corruption,gain_mixed
tta_bn,composition_1_2_3_4,"client_1,client_2,client_3,client_4",4,zigzag,100,100,1.0,0.8,0.9,0.99,0.83,0.91,-0.010000000000000009,0.029999999999999916,0.010000000000000009
tta_memo,composition_1_2_3_4,"client_1,client_2,client_3,client_4",4,zigzag,100,100,1.0,0.8,0.9,1.0,0.82,0.91,0.0,0.019999999999999907,0.010000000000000009
tent,composition_1_2_4,"client_1,client_2,client_4",3,brightness,100,100,0.98,0.32,0.65,1.0,0.97,0.885,0.020000000000000018,0.6499999999999999,0.235
tta_bn,composition_1_2_4,"client_1,client_2,client_4",3,brightness,100,100,0.98,0.32,0.65,0.53,0.95,0.74,-0.44999999999999996,0.6299999999999999,0.08999999999999997
tta_memo,composition_1_2_4,"client_1,client_2,client_4",3,brightness,100,100,0.98,0.32,0.65,0.93,0.48,0.705,-0.04999999999999993,0.15999999999999998,0.05499999999999994
tent,composition_1_2_4,"client_1,client_2,client_4",3,zigzag,100,100,0.98,0.79,0.885,1.0,0.8,0.895,0.020000000000000018,0.010000000000000009,0.010000000000000009
tta_bn,composition_1_2_4,"client_1,client_2,client_4",3,zigzag,100,100,0.98,0.79,0.885,0.99,0.81,0.9,0.010000000000000009,0.020000000000000018,0.015000000000000013
tta_memo,composition_1_2_4,"client_1,client_2,client_4",3,zigzag,100,100,0.98,0.79,0.885,0.99,0.8,0.895,0.010000000000000009,0.010000000000000009,0.010000000000000009
tent,composition_1_3,"client_1,client_3",2,brightness,100,100,1.0,0.23,0.615,1.0,0.97,0.875,0.0,0.74,0.26
tta_bn,composition_1_3,"client_1,client_3",2,brightness,100,100,1.0,0.23,0.615,0.53,0.96,0.745,-0.47,0.73,0.13
tta_memo,composition_1_3,"client_1,client_3",2,brightness,100,100,1.0,0.23,0.615,0.97,0.42,0.695,-0.030000000000000027,0.18999999999999997,0.07999999999999996
tent,composition_1_3,"client_1,client_3",2,zigzag,100,100,1.0,0.81,0.905,1.0,0.83,0.915,0.0,0.019999999999999907,0.010000000000000009
tta_bn,composition_1_3,"client_1,client_3",2,zigzag,100,100,1.0,0.81,0.905,0.99,0.83,0.91,-0.010000000000000009,0.019999999999999907,0.0050000000000000044
tta_memo,composition_1_3,"client_1,client_3",2,zigzag,100,100,1.0,0.81,0.905,0.99,0.81,0.9,-0.010000000000000009,0.0,-0.0050000000000000044
tent,composition_1_3_4,"client_1,client_3,client_4",3,brightness,100,100,1.0,0.29,0.645,1.0,0.97,0.89,0.0,0.6799999999999999,0.245
tta_bn,composition_1_3_4,"client_1,client_3,client_4",3,brightness,100,100,1.0,0.29,0.645,0.53,0.95,0.74,-0.47,0.6599999999999999,0.09499999999999997
tta_memo,composition_1_3_4,"client_1,client_3,client_4",3,brightness,100,100,1.0,0.29,0.645,0.95,0.51,0.73,-0.050000000000000044,0.22000000000000003,0.08499999999999996
tent,composition_1_3_4,"client_1,client_3,client_4",3,zigzag,100,100,1.0,0.8,0.9,1.0,0.83,0.915,0.0,0.029999999999999916,0.015000000000000013
tta_bn,composition_1_3_4,"client_1,client_3,client_4",3,zigzag,100,100,1.0,0.8,0.9,0.99,0.83,0.91,-0.010000000000000009,0.029999999999999916,0.010000000000000009
tta_memo,composition_1_3_4,"client_1,client_3,client_4",3,zigzag,100,100,1.0,0.8,0.9,0.99,0.83,0.91,-0.010000000000000009,0.029999999999999916,0.010000000000000009
tent,composition_1_4,"client_1,client_4",2,brightness,100,100,0.98,0.39,0.685,0.98,0.96,0.88,0.0,0.57,0.19499999999999995
tta_bn,composition_1_4,"client_1,client_4",2,brightness,100,100,0.98,0.39,0.685,0.5,0.94,0.72,-0.48,0.5499999999999999,0.03499999999999992
tta_memo,composition_1_4,"client_1,client_4",2,brightness,100,100,0.98,0.39,0.685,0.93,0.6,0.765,-0.04999999999999993,0.20999999999999996,0.07999999999999996
tent,composition_1_4,"client_1,client_4",2,zigzag,100,100,0.98,0.8,0.89,0.98,0.81,0.895,0.0,0.010000000000000009,0.0050000000000000044
