corruption,mean_accuracy,scale,threshold,precision,recall,accuracy,f1
shot_noise,0.2848101265822785,0.9,0.25632911392405067,0.8961038961038961,0.971830985915493,0.8734177215189873,0.9324324324324325
shot_noise,0.2848101265822785,1.0,0.2848101265822785,0.8888888888888888,0.9014084507042254,0.810126582278481,0.8951048951048951
shot_noise,0.2848101265822785,1.1,0.3132911392405064,0.8888888888888888,0.9014084507042254,0.810126582278481,0.8951048951048951
shot_noise,0.2848101265822785,1.2,0.34177215189873417,0.8955223880597015,0.8450704225352113,0.7721518987341772,0.8695652173913043
shot_noise,0.2848101265822785,1.3,0.37025316455696206,0.9032258064516129,0.7887323943661971,0.7341772151898734,0.8421052631578947
shot_noise,0.2848101265822785,1.4,0.3987341772151899,0.896551724137931,0.7323943661971831,0.6835443037974683,0.806201550387597
shot_noise,0.2848101265822785,1.5,0.4272151898734178,0.8867924528301887,0.6619718309859155,0.620253164556962,0.7580645161290323
snow,0.3362341772151899,0.5,0.16811708860759494,0.5443037974683544,1.0,0.5443037974683544,0.7049180327868853
snow,0.3362341772151899,0.6,0.20174050632911392,0.5443037974683544,1.0,0.5443037974683544,0.7049180327868853
snow,0.3362341772151899,0.7,0.23536392405063292,0.5443037974683544,1.0,0.5443037974683544,0.7049180327868853
snow,0.3362341772151899,0.8,0.26898734177215194,0.5443037974683544,1.0,0.5443037974683544,0.7049180327868853
snow,0.3362341772151899,0.9,0.3026107594936709,0.5454545454545454,0.9767441860465116,0.5443037974683544,0.7
snow,0.3362341772151899,1.0,0.3362341772151899,0.5277777777777778,0.8837209302325582,0.5063291139240507,0.6608695652173913
snow,0.3362341772151899,1.1,0.3698575949367089,0.5384615384615384,0.813953488372093,0.5189873417721519,0.6481481481481481
snow,0.3362341772151899,1.2,0.40348101265822783,0.4915254237288136,0.6744186046511628,0.4430379746835443,0.5686274509803922
snow,0.3362341772151899,1.3,0.4371044303797469,0.46153846153846156,0.5581395348837209,0.4050632911392405,0.5052631578947369
snow,0.3362341772151899,1.4,0.47072784810126583,0.40476190476190477,0.3953488372093023,0.35443037974683544,0.4
snow,0.3362341772151899,1.5,0.5043512658227849,0.3783783783783784,0.32558139534883723,0.34177215189873417,0.35000000000000003
spatter,0.349881329113924,0.5,0.174940664556962,0.41025641025641024,1.0,0.4177215189873418,0.5818181818181819
spatter,0.349881329113924,0.6,0.20992879746835438,0.4155844155844156,1.0,0.43037974683544306,0.5871559633027523
spatter,0.349881329113924,0.7,0.2449169303797468,0.4155844155844156,1.0,0.43037974683544306,0.5871559633027523
spatter,0.349881329113924,0.8,0.27990506329113923,0.42105263157894735,1.0,0.4430379746835443,0.5925925925925926
spatter,0.349881329113924,0.9,0.3148931962025316,0.4246575342465753,0.96875,0.45569620253164556,0.5904761904761905
spatter,0.349881329113924,1.0,0.349881329113924,0.4057971014492754,0.875,0.43037974683544306,0.5544554455445545
spatter,0.349881329113924,1.1,0.3848694620253164,0.43548387096774194,0.84375,0.4936708860759494,0.5744680851063829
spatter,0.349881329113924,1.2,0.41985759493670877,0.43636363636363634,0.75,0.5063291139240507,0.5517241379310345
spatter,0.349881329113924,1.3,0.45484572784810123,0.4,0.625,0.46835443037974683,0.48780487804878053
spatter,0.349881329113924,1.4,0.4898338607594936,0.4,0.5,0.4936708860759494,0.4444444444444445
spatter,0.349881329113924,1.5,0.524821993670886,0.4411764705882353,0.46875,0.5443037974683544,0.45454545454545453
speckle_noise,0.2886669303797468,0.5,0.1443334651898734,0.9240506329113924,1.0,0.9240506329113924,0.9605263157894737
speckle_noise,0.2886669303797468,0.6,0.17320015822784807,0.9240506329113924,1.0,0.9240506329113924,0.9605263157894737
speckle_noise,0.2886669303797468,0.7,0.20206685126582274,0.922077922077922,0.9726027397260274,0.8987341772151899,0.9466666666666667
speckle_noise,0.2886669303797468,0.8,0.23093354430379742,0.922077922077922,0.9726027397260274,0.8987341772151899,0.9466666666666667
speckle_noise,0.2886669303797468,0.9,0.2598002373417721,0.9210526315789473,0.958904109589041,0.8860759493670886,0.9395973154362416
speckle_noise,0.2886669303797468,1.0,0.2886669303797468,0.9178082191780822,0.9178082191780822,0.8481012658227848,0.9178082191780822
speckle_noise,0.2886669303797468,1.1,0.31753362341772146,0.9130434782608695,0.863013698630137,0.7974683544303798,0.8873239436619719
speckle_noise,0.2886669303797468,1.2,0.34640031645569613,0.9104477611940298,0.8356164383561644,0.7721518987341772,0.8714285714285713
speckle_noise,0.2886669303797468,1.3,0.3752670094936708,0.9206349206349206,0.7945205479452054,0.7468354430379747,0.8529411764705882
speckle_noise,0.2886669303797468,1.4,0.4041337025316455,0.9137931034482759,0.726027397260274,0.6835443037974683,0.8091603053435115
speckle_noise,0.2886669303797468,1.5,0.43300039556962017,0.92,0.6301369863013698,0.6075949367088608,0.7479674796747968
zoom_blur,0.3344541139240506,0.5,0.1672270569620253,0.5844155844155844,0.9782608695652174,0.5822784810126582,0.7317073170731707
zoom_blur,0.3344541139240506,0.6,0.20067246835443037,0.5833333333333334,0.9130434782608695,0.569620253164557,0.7118644067796611
zoom_blur,0.3344541139240506,0.7,0.2341178797468354,0.5588235294117647,0.8260869565217391,0.5189873417721519,0.6666666666666667
zoom_blur,0.3344541139240506,0.8,0.2675632911392405,0.5538461538461539,0.782608695652174,0.5063291139240507,0.6486486486486487
zoom_blur,0.3344541139240506,0.9,0.3010087025316456,0.532258064516129,0.717391304347826,0.46835443037974683,0.6111111111111109
zoom_blur,0.3344541139240506,1.0,0.3344541139240506,0.5254237288135594,0.6739130434782609,0.45569620253164556,0.5904761904761905
zoom_blur,0.3344541139240506,1.1,0.3678995253164557,0.5454545454545454,0.6521739130434783,0.4810126582278481,0.594059405940594
zoom_blur,0.3344541139240506,1.2,0.40134493670886073,0.5510204081632653,0.5869565217391305,0.4810126582278481,0.568421052631579
zoom_blur,0.3344541139240506,1.3,0.4347903481012658,0.5,0.45652173913043476,0.4177215189873418,0.47727272727272724
zoom_blur,0.3344541139240506,1.4,0.4682357594936708,0.4722222222222222,0.3695652173913043,0.3924050632911392,0.41463414634146345
zoom_blur,0.3344541139240506,1.5,0.5016811708860759,0.4857142857142857,0.3695652173913043,0.4050632911392405,0.4197530864197531
