tta_method,case,performing_clients,performing_length,tta_client,tta_corruption,clean_samples,corruption_samples,initial_mixed_accuracy,protected_v2_mixed_accuracy,protected_v2_gain_vs_initial_mixed,model_pref_tta_weight,bn_pref_tta_weight,sum_pref_tta_weight
tta_bn,perf_0_2_plus_1_on_glass_blur,"client_0,client_2",2,client_1,glass_blur,50,50,0.91,0.92,0.010000000000000009,0.00014978484269922965,0.0025475077216897957,0.0026972925643890255
tta_bn,perf_0_4_plus_1_on_glass_blur,"client_0,client_4",2,client_1,glass_blur,50,50,0.91,0.93,0.020000000000000018,0.00018734779659409378,0.0022520508861192104,0.002439398682713304
tta_bn,perf_2_4_plus_1_on_glass_blur,"client_2,client_4",2,client_1,glass_blur,50,50,0.91,0.92,0.010000000000000009,0.00015755070432988227,0.002054708325345034,0.0022122590296749164
tta_bn,perf_4_plus_1_on_stripe,client_4,1,client_1,stripe,50,50,0.91,0.92,0.010000000000000009,4.552402718002308e-05,1.2901436274595496e-06,4.681417080748263e-05
tta_bn,perf_0_4_plus_1_on_stripe,"client_0,client_4",2,client_1,stripe,50,50,0.92,0.93,0.010000000000000009,0.00018734779659409378,1.3688251691397967e-06,0.00018871662176323358
tta_bn,perf_2_4_plus_1_on_stripe,"client_2,client_4",2,client_1,stripe,50,50,0.93,0.94,0.009999999999999898,0.00015755070432988227,1.318152580613235e-06,0.0001588688569104955
tta_bn,perf_0_4_plus_1_on_zigzag,"client_0,client_4",2,client_1,zigzag,50,50,0.91,0.92,0.010000000000000009,0.00018734779659409378,0.010707169957951118,0.010894517754545212
tta_bn,perf_1_plus_2_on_brightness,client_1,1,client_2,brightness,50,50,0.64,0.67,0.030000000000000027,2.37976303668143e-05,1.453211260034294e-06,2.5250841626848594e-05
tta_bn,perf_4_plus_2_on_brightness,client_4,1,client_2,brightness,50,50,0.66,0.67,0.010000000000000009,1.7546562480111453e-05,1.0139578940464004e-06,1.8560520374157852e-05
tta_bn,perf_0_1_plus_2_on_brightness,"client_0,client_1",2,client_2,brightness,50,50,0.64,0.66,0.020000000000000018,7.63553009279341e-05,1.3407401625342014e-06,7.76960410904683e-05
tta_bn,perf_0_4_plus_2_on_brightness,"client_0,client_4",2,client_2,brightness,50,50,0.64,0.67,0.030000000000000027,6.879993014095684e-05,1.1106440240089364e-06,6.991057416496578e-05
tta_bn,perf_1_3_plus_2_on_brightness,"client_1,client_3",2,client_2,brightness,50,50,0.62,0.63,0.010000000000000009,7.32836257623124e-05,1.3957827449467399e-06,7.467940850725914e-05
tta_bn,perf_1_4_plus_2_on_brightness,"client_1,client_4",2,client_2,brightness,50,50,0.66,0.68,0.020000000000000018,6.958817105396735e-05,1.3676546526617162e-06,7.095582570662906e-05
tta_bn,perf_0_1_3_plus_2_on_brightness,"client_0,client_1,client_3",3,client_2,brightness,50,50,0.62,0.64,0.020000000000000018,0.00011789187978229591,1.336025240934137e-06,0.00011922790502323005
tta_bn,perf_1_3_4_plus_2_on_brightness,"client_1,client_3,client_4",3,client_2,brightness,50,50,0.64,0.66,0.020000000000000018,0.00011206331562803798,1.3454101779097412e-06,0.00011340872580594771
