technique,client_id,corruption_category,prediction_distribution,latency,quality_factor,reliability_score,weights_file
tta_memo,client_2,glass_blur,"[0.0939, 0.0907, 0.1125, 0.1019, 0.1626, 0.0822, 0.0994, 0.0911, 0.1468, 0.0189]",4.988183874999997,0.8324999999999999,0.9350227471636388,artifacts/tta_memo/artifacts/client_2_glass_blur_tta_memo/adapted_client_model.pt
tta_memo,client_2,impulse_noise,"[0.0741, 0.1245, 0.1526, 0.0849, 0.2136, 0.0917, 0.1137, 0.0938, 0.044, 0.0071]",6.323457042000001,0.7626999999999999,0.9733157216859093,artifacts/tta_memo/artifacts/client_2_impulse_noise_tta_memo/adapted_client_model.pt
tta_memo,client_2,stripe,"[0.0696, 0.1176, 0.1108, 0.108, 0.1036, 0.1227, 0.1061, 0.0997, 0.0696, 0.0923]",4.874453916999997,0.9131,0.9559259684776894,artifacts/tta_memo/artifacts/client_2_stripe_tta_memo/adapted_client_model.pt
tta_memo,client_2,zigzag,"[0.0939, 0.0682, 0.1248, 0.0942, 0.1549, 0.0853, 0.1012, 0.0923, 0.1093, 0.0759]",4.833993875000004,0.8631,0.9570486622440179,artifacts/tta_memo/artifacts/client_2_zigzag_tta_memo/adapted_client_model.pt
tta_memo,client_3,brightness,"[0.1019, 0.1144, 0.1043, 0.1011, 0.0967, 0.0906, 0.0955, 0.0993, 0.0967, 0.0995]",4.893732125,0.9807,0.9721476201222754,artifacts/tta_memo/artifacts/client_3_brightness_tta_memo/adapted_client_model.pt
tta_memo,client_3,glass_blur,"[0.1007, 0.1088, 0.1014, 0.12, 0.1376, 0.0854, 0.0943, 0.091, 0.1071, 0.0537]",4.671190083000013,0.8786000000000002,0.954354778357817,artifacts/tta_memo/artifacts/client_3_glass_blur_tta_memo/adapted_client_model.pt
tta_memo,client_3,impulse_noise,"[0.0894, 0.1474, 0.1221, 0.0938, 0.1796, 0.1169, 0.0907, 0.1095, 0.0452, 0.0054]",5.376112583000008,0.7872999999999999,0.9598687949326684,artifacts/tta_memo/artifacts/client_3_impulse_noise_tta_memo/adapted_client_model.pt
tta_memo,client_3,stripe,"[0.0536, 0.1233, 0.0989, 0.1133, 0.0991, 0.1719, 0.0939, 0.1062, 0.0567, 0.0831]",4.528404999999992,0.8702,0.959227523659981,artifacts/tta_memo/artifacts/client_3_stripe_tta_memo/adapted_client_model.pt
tta_memo,client_3,zigzag,"[0.1017, 0.0917, 0.1122, 0.1013, 0.1383, 0.0927, 0.0939, 0.0934, 0.0943, 0.0805]",4.939623707999999,0.8983000000000001,0.9531083488883998,artifacts/tta_memo/artifacts/client_3_zigzag_tta_memo/adapted_client_model.pt
tta_memo,client_4,brightness,"[0.0982, 0.1138, 0.1068, 0.0989, 0.0974, 0.0907, 0.0983, 0.104, 0.0952, 0.0967]",4.963854749999996,0.9827999999999999,0.9736956158269812,artifacts/tta_memo/artifacts/client_4_brightness_tta_memo/adapted_client_model.pt
tta_memo,client_4,glass_blur,"[0.0935, 0.1117, 0.1164, 0.0887, 0.1464, 0.0832, 0.0999, 0.1314, 0.106, 0.0228]",4.707911207999999,0.8619,0.9553107655204149,artifacts/tta_memo/artifacts/client_4_glass_blur_tta_memo/adapted_client_model.pt
tta_memo,client_4,impulse_noise,"[0.0193, 0.1206, 0.3917, 0.0204, 0.1287, 0.0725, 0.0814, 0.1624, 0.0014, 0.0016]",5.1384593749999965,0.5756,0.927094152317281,artifacts/tta_memo/artifacts/client_4_impulse_noise_tta_memo/adapted_client_model.pt
tta_memo,client_4,stripe,"[0.0384, 0.1175, 0.1307, 0.0965, 0.1014, 0.1187, 0.158, 0.1434, 0.0402, 0.0552]",4.344689209000009,0.8153,0.9622411216891045,artifacts/tta_memo/artifacts/client_4_stripe_tta_memo/adapted_client_model.pt
tta_memo,client_4,zigzag,"[0.0906, 0.082, 0.1517, 0.0821, 0.1297, 0.0871, 0.0999, 0.1274, 0.0848, 0.0647]",6.3542117910000115,0.8519,0.9343062857755059,artifacts/tta_memo/artifacts/client_4_zigzag_tta_memo/adapted_client_model.pt
