technique,score_threshold_rule,truth_threshold_rule,average_score,tp,fp,tn,fn,accuracy,precision,recall,f1
mlaas_based,mean_minus_5pct,mean_minus_16pct,0.6714336943034688,11327,1873,22,2278,0.7321935483870968,0.8581060606060606,0.8325615582506432,0.8451408319343405
mlaas_based,mean_minus_10pct,mean,0.6714336943034688,8530,6970,0,0,0.5503225806451613,0.5503225806451613,1.0,0.7099459009571369
mlaas_based,mean_minus_10pct,mean_minus_5pct,0.6714336943034688,10590,4910,0,0,0.6832258064516129,0.6832258064516129,1.0,0.8118052893829054
mlaas_based,mean_minus_10pct,mean_minus_10pct,0.6714336943034688,12240,3260,0,0,0.7896774193548387,0.7896774193548387,1.0,0.8824801730353281
mlaas_based,mean_minus_10pct,mean_minus_15pct,0.6714336943034688,13420,2080,0,0,0.8658064516129033,0.8658064516129033,1.0,0.9280774550484094
mlaas_based,mean_minus_10pct,mean_minus_16pct,0.6714336943034688,13605,1895,0,0,0.8777419354838709,0.8777419354838709,1.0,0.9348909122143961
mlaas_based,mean_minus_15pct,mean,0.6714336943034688,8530,6970,0,0,0.5503225806451613,0.5503225806451613,1.0,0.7099459009571369
mlaas_based,mean_minus_15pct,mean_minus_5pct,0.6714336943034688,10590,4910,0,0,0.6832258064516129,0.6832258064516129,1.0,0.8118052893829054
mlaas_based,mean_minus_15pct,mean_minus_10pct,0.6714336943034688,12240,3260,0,0,0.7896774193548387,0.7896774193548387,1.0,0.8824801730353281
mlaas_based,mean_minus_15pct,mean_minus_15pct,0.6714336943034688,13420,2080,0,0,0.8658064516129033,0.8658064516129033,1.0,0.9280774550484094
mlaas_based,mean_minus_15pct,mean_minus_16pct,0.6714336943034688,13605,1895,0,0,0.8777419354838709,0.8777419354838709,1.0,0.9348909122143961
mlaas_based,mean_minus_16pct,mean,0.6714336943034688,8530,6970,0,0,0.5503225806451613,0.5503225806451613,1.0,0.7099459009571369
mlaas_based,mean_minus_16pct,mean_minus_5pct,0.6714336943034688,10590,4910,0,0,0.6832258064516129,0.6832258064516129,1.0,0.8118052893829054
mlaas_based,mean_minus_16pct,mean_minus_10pct,0.6714336943034688,12240,3260,0,0,0.7896774193548387,0.7896774193548387,1.0,0.8824801730353281
mlaas_based,mean_minus_16pct,mean_minus_15pct,0.6714336943034688,13420,2080,0,0,0.8658064516129033,0.8658064516129033,1.0,0.9280774550484094
mlaas_based,mean_minus_16pct,mean_minus_16pct,0.6714336943034688,13605,1895,0,0,0.8777419354838709,0.8777419354838709,1.0,0.9348909122143961
CATTM,mean,mean,0.5605269329788795,5270,2750,4220,3260,0.6122580645161291,0.6571072319201995,0.6178194607268465,0.636858006042296
CATTM,mean,mean_minus_5pct,0.5605269329788795,6320,1700,3210,4270,0.6148387096774194,0.7880299251870324,0.5967894239848914,0.6792047286405158
CATTM,mean,mean_minus_10pct,0.5605269329788795,7062,958,2302,5178,0.6041290322580645,0.8805486284289277,0.5769607843137254,0.697137216189536
CATTM,mean,mean_minus_15pct,0.5605269329788795,7496,524,1556,5924,0.584,0.9346633416458853,0.5585692995529061,0.6992537313432836
CATTM,mean,mean_minus_16pct,0.5605269329788795,7557,463,1432,6048,0.5799354838709677,0.9422693266832918,0.555457552370452,0.6989132947976879
CATTM,mean_minus_5pct,mean,0.5605269329788795,5771,2949,4021,2759,0.6317419354838709,0.6618119266055046,0.6765533411488863,0.6691014492753623
CATTM,mean_minus_5pct,mean_minus_5pct,0.5605269329788795,6925,1795,3115,3665,0.6477419354838709,0.794151376146789,0.653918791312559,0.7172449508026929
CATTM,mean_minus_5pct,mean_minus_10pct,0.5605269329788795,7734,986,2274,4506,0.6456774193548387,0.8869266055045871,0.6318627450980392,0.7379770992366412
CATTM,mean_minus_5pct,mean_minus_15pct,0.5605269329788795,8183,537,1543,5237,0.6274838709677419,0.9384174311926605,0.6097615499254844,0.7392050587172537
CATTM,mean_minus_5pct,mean_minus_16pct,0.5605269329788795,8245,475,1420,5360,0.6235483870967742,0.9455275229357798,0.6060271958838662,0.7386338185890259
CATTM,mean_minus_10pct,mean,0.5605269329788795,6681,3519,3451,1849,0.6536774193548387,0.655,0.7832356389214536,0.7134009610250934
CATTM,mean_minus_10pct,mean_minus_5pct,0.5605269329788795,8073,2127,2783,2517,0.7003870967741935,0.7914705882352941,0.7623229461756373,0.7766233766233767
CATTM,mean_minus_10pct,mean_minus_10pct,0.5605269329788795,9063,1137,2123,3177,0.7216774193548388,0.8885294117647059,0.7404411764705883,0.8077540106951873
CATTM,mean_minus_10pct,mean_minus_15pct,0.5605269329788795,9605,595,1485,3815,0.7154838709677419,0.9416666666666667,0.7157228017883756,0.8132938187976291
CATTM,mean_minus_10pct,mean_minus_16pct,0.5605269329788795,9676,524,1371,3929,0.7127096774193549,0.9486274509803921,0.7112091142962146,0.8129384583070782
CATTM,mean_minus_15pct,mean,0.5605269329788795,7536,4184,2786,994,0.6659354838709678,0.6430034129692833,0.8834701055099649,0.7442962962962962
CATTM,mean_minus_15pct,mean_minus_5pct,0.5605269329788795,9162,2558,2352,1428,0.7428387096774194,0.781740614334471,0.8651558073654391,0.821335723890632
CATTM,mean_minus_15pct,mean_minus_10pct,0.5605269329788795,10351,1369,1891,1889,0.7898064516129032,0.8831911262798635,0.8456699346405229,0.8640233722871452
CATTM,mean_minus_15pct,mean_minus_15pct,0.5605269329788795,11018,702,1378,2402,0.799741935483871,0.9401023890784983,0.8210134128166915,0.8765314240254575
CATTM,mean_minus_15pct,mean_minus_16pct,0.5605269329788795,11118,602,1293,2487,0.8007096774193548,0.9486348122866894,0.817199558985667,0.8780256663376111
CATTM,mean_minus_16pct,mean,0.5605269329788795,7634,4306,2664,896,0.6643870967741935,0.6393634840871022,0.8949589683470105,0.7458720078163165
CATTM,mean_minus_16pct,mean_minus_5pct,0.5605269329788795,9304,2636,2274,1286,0.7469677419354839,0.7792294807370185,0.8785646836638338,0.8259209942299157
CATTM,mean_minus_16pct,mean_minus_10pct,0.5605269329788795,10534,1406,1854,1706,0.7992258064516129,0.8822445561139028,0.8606209150326798,0.8712985938792389
CATTM,mean_minus_16pct,mean_minus_15pct,0.5605269329788795,11226,714,1366,2194,0.8123870967741935,0.9402010050251256,0.8365126676602086,0.8853312302839117
CATTM,mean_minus_16pct,mean_minus_16pct,0.5605269329788795,11329,611,1284,2276,0.813741935483871,0.9488274706867672,0.8327085630282984,0.8869837541593266
